tag,motor,duty,v_batt,v_eff,ticks,dt_s,mmps
coarse_fwd_up,A,0.0500,11.624,0.5812,0,1.0000,0.00
coarse_fwd_up,A,0.1000,11.618,1.1618,0,1.0000,0.00
coarse_fwd_up,A,0.1500,11.606,1.7409,0,1.0000,0.00
coarse_fwd_up,A,0.2000,11.597,2.3194,1,1.0000,0.53
coarse_fwd_up,A,0.2500,11.586,2.8964,775,1.0000,412.12
coarse_fwd_up,A,0.3000,11.577,3.4732,1356,1.0000,721.10
coarse_fwd_up,A,0.3500,11.577,4.0518,1774,1.0000,943.38
coarse_fwd_up,A,0.4000,11.564,4.6256,2108,1.0000,1120.93
coarse_fwd_up,A,0.4500,11.567,5.2050,2381,1.0000,1266.14
coarse_fwd_up,A,0.5000,11.556,5.7779,2598,1.0000,1381.53
coarse_fwd_up,A,0.5500,11.555,6.3552,2767,1.0000,1471.35
coarse_fwd_up,A,0.6000,11.550,6.9302,2921,1.0000,1553.35
coarse_fwd_up,A,0.6500,11.551,7.5080,3035,1.0000,1613.92
coarse_fwd_up,A,0.7000,11.552,8.0862,3144,1.0000,1671.94
coarse_fwd_up,A,0.7500,11.552,8.6638,3257,1.0001,1731.83
coarse_fwd_up,A,0.8000,11.546,9.2367,3340,1.0001,1775.99
coarse_fwd_up,A,0.8500,11.545,9.8131,3410,1.0000,1813.27
coarse_fwd_up,A,0.9000,11.543,10.3884,3476,1.0000,1848.49
coarse_fwd_up,A,0.9500,11.543,10.9660,3556,1.0000,1890.95
coarse_fwd_up,A,1.0000,11.532,11.5324,3795,1.0000,2018.00
coarse_fwd_dn,A,1.0000,11.540,11.5397,3800,1.0000,2020.72
coarse_fwd_dn,A,0.9500,11.535,10.9580,3559,1.0000,1892.56
coarse_fwd_dn,A,0.9000,11.540,10.3861,3485,1.0000,1853.28
coarse_fwd_dn,A,0.8500,11.545,9.8133,3419,1.0000,1818.04
coarse_fwd_dn,A,0.8000,11.547,9.2378,3348,1.0000,1780.41
coarse_fwd_dn,A,0.7500,11.549,8.6615,3277,1.0000,1742.55
coarse_fwd_dn,A,0.7000,11.551,8.0856,3193,1.0000,1697.99
coarse_fwd_dn,A,0.6500,11.546,7.5051,3092,1.0000,1644.23
coarse_fwd_dn,A,0.6000,11.550,6.9302,2979,1.0000,1584.09
coarse_fwd_dn,A,0.5500,11.554,6.3547,2836,1.0000,1508.09
coarse_fwd_dn,A,0.5000,11.556,5.7781,2671,1.0000,1420.40
coarse_fwd_dn,A,0.4500,11.565,5.2044,2463,1.0000,1309.75
coarse_fwd_dn,A,0.4000,11.562,4.6250,2206,1.0000,1173.08
coarse_fwd_dn,A,0.3500,11.574,4.0509,1849,1.0000,983.21
coarse_fwd_dn,A,0.3000,11.571,3.4713,1446,1.0000,768.94
coarse_fwd_dn,A,0.2500,11.581,2.8952,961,1.0000,511.01
coarse_fwd_dn,A,0.2000,11.590,2.3180,377,1.0000,200.48
