tag,motor,duty,v_batt,v_eff,ticks,dt_s,mmps
coarse_fwd_up,A,0.0500,10.759,0.5379,0,1.0000,0.00
coarse_fwd_up,A,0.1000,10.741,1.0741,0,1.0000,0.00
coarse_fwd_up,A,0.1500,10.730,1.6095,1,1.0000,0.53
coarse_fwd_up,A,0.2000,10.714,2.1429,278,1.0000,147.83
coarse_fwd_up,A,0.2500,10.702,2.6756,1212,1.0000,644.50
coarse_fwd_up,A,0.3000,10.684,3.2052,1698,1.0000,902.94
coarse_fwd_up,A,0.3500,10.672,3.7354,2047,1.0000,1088.53
coarse_fwd_up,A,0.4000,10.667,4.2669,2311,1.0000,1228.92
coarse_fwd_up,A,0.4500,10.650,4.7927,2507,1.0000,1333.13
coarse_fwd_up,A,0.5000,10.652,5.3259,2668,1.0000,1418.81
coarse_fwd_up,A,0.5500,10.653,5.8589,2792,1.0000,1484.65
coarse_fwd_up,A,0.6000,10.646,6.3876,2895,1.0000,1539.47
coarse_fwd_up,A,0.6500,10.640,6.9162,2980,1.0000,1584.60
coarse_fwd_up,A,0.7000,10.637,7.4457,3049,1.0000,1621.34
coarse_fwd_up,A,0.7500,10.638,7.9788,3100,1.0000,1648.48
coarse_fwd_up,A,0.8000,10.636,8.5088,3146,1.0000,1672.88
coarse_fwd_up,A,0.8500,10.632,9.0376,3194,1.0000,1698.40
coarse_fwd_up,A,0.9000,10.641,9.5773,3252,1.0000,1729.38
coarse_fwd_up,A,0.9500,10.638,10.1065,3299,1.0000,1754.30
coarse_fwd_up,A,1.0000,10.626,10.6264,3422,1.0000,1819.74
coarse_fwd_dn,A,1.0000,10.639,10.6386,3426,1.0000,1821.84
coarse_fwd_dn,A,0.9500,10.638,10.1061,3300,0.9999,1754.91
coarse_fwd_dn,A,0.9000,10.640,9.5763,3261,1.0000,1734.10
coarse_fwd_dn,A,0.8500,10.633,9.0381,3235,1.0000,1720.21
coarse_fwd_dn,A,0.8000,10.650,8.5196,3193,1.0000,1697.95
coarse_fwd_dn,A,0.7500,10.647,7.9852,3144,1.0000,1671.83
coarse_fwd_dn,A,0.7000,10.650,7.4551,3098,1.0000,1647.48
coarse_fwd_dn,A,0.6500,10.655,6.9257,3036,1.0000,1614.45
coarse_fwd_dn,A,0.6000,10.657,6.3942,2964,1.0000,1576.13
coarse_fwd_dn,A,0.5500,10.657,5.8616,2875,1.0000,1528.78
coarse_fwd_dn,A,0.5000,10.665,5.3326,2762,1.0000,1468.75
coarse_fwd_dn,A,0.4500,10.662,4.7981,2625,1.0000,1395.89
coarse_fwd_dn,A,0.4000,10.675,4.2699,2446,0.9999,1300.80
coarse_fwd_dn,A,0.3500,10.677,3.7371,2220,1.0000,1180.52
coarse_fwd_dn,A,0.3000,10.686,3.2057,1887,1.0000,1003.44
coarse_fwd_dn,A,0.2500,10.703,2.6758,1477,1.0000,785.42
coarse_fwd_dn,A,0.2000,10.708,2.1416,965,1.0000,513.16
coarse_fwd_dn,A,0.1500,10.735,1.6103,265,1.0000,140.91
coarse_fwd_dn,A,0.1000,10.748,1.0748,0,1.0000,0.00
coarse_fwd_dn,A,0.0500,10.763,0.5381,0,1.0000,0.00
crawl_fwd_up,A,0.1500,10.731,1.6096,0,1.0000,0.00
crawl_fwd_up,A,0.1550,10.729,1.6629,0,1.0000,0.00
crawl_fwd_up,A,0.1600,10.709,1.7135,0,1.0000,0.00
crawl_fwd_up,A,0.1650,10.712,1.7675,0,1.0000,0.00
crawl_fwd_up,A,0.1700,10.706,1.8200,0,1.0000,0.00
crawl_fwd_up,A,0.1750,10.718,1.8756,328,1.0000,174.41
crawl_fwd_up,A,0.1800,10.721,1.9298,520,1.0000,276.52
crawl_fwd_up,A,0.1850,10.716,1.9824,594,1.0000,315.87
crawl_fwd_up,A,0.1900,10.718,2.0364,676,1.0000,359.48
crawl_fwd_up,A,0.1950,10.710,2.0885,758,1.0000,403.08
